slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,win_streak_diff,finish_rate_diff,age_diff,reach_diff,days_diff,title_fight,rounds,weight_class_lbs,date,winner
0.09999999999999964,3,-8,0.6499999999999999,4,3,0.3,-1,0.5494505494505494,0.8788501026694107,10.159999999999997,273,0,3.0,170,2024-06-01,1
0.3099999999999996,6,-1,0.0,19,6,0.19999999999999996,0,0.09999999999999998,-3.572895277207394,12.700000000000017,-91,0,3.0,170,2024-06-01,1
0.7799999999999994,-9,7,-2.88,-58,-3,1.4000000000000001,0,1.0,3.876796714579058,-12.700000000000017,273,0,3.0,185,2024-06-08,0
0.13999999999999968,-5,-2,-0.19999999999999996,8,-17,-1.0,1,0.19999999999999996,11.958932238193018,5.0800000000000125,231,0,5.0,185,2024-06-08,0
0.20999999999999996,7,-7,-0.020000000000000018,3,20,0.3,0,0.09523809523809523,-1.7275838466803535,2.5400000000000205,399,0,3.0,205,2024-06-08,1
0.27,5,4,-0.8699999999999999,-13,11,-0.30000000000000004,0,0.5,-0.9719370294318956,-7.6200000000000045,-42,0,3.0,185,2024-06-08,1
-0.9100000000000001,-4,-2,-1.1099999999999999,-34,17,2.0,0,0.0,0.24914442162901906,5.0800000000000125,595,0,3.0,170,2024-06-08,0
-0.71,-5,4,0.26,-88,16,0.0,1,-0.5,3.1074606433949405,-15.240000000000009,7,0,3.0,170,2024-06-08,0
-1.02,-4,2,-1.49,-14,21,0.0,0,0.0,-4.068446269678301,-12.700000000000017,-252,0,3.0,170,2024-06-15,0
-3.37,-19,18,-0.4099999999999999,5,-18,-1.1,-1,-0.6875,1.9657768651608478,-7.6200000000000045,-119,0,5.0,185,2024-06-22,1
4.64,12,20,-0.84,-11,21,-0.8,1,0.0,-3.441478439425051,-15.240000000000009,245,0,3.0,185,2024-06-22,1
-3.5300000000000002,-7,0,0.54,-16,-6,0.0,0,-0.011904761904761807,-4.813141683778234,-7.6200000000000045,-203,0,3.0,185,2024-06-22,1
-0.8900000000000006,7,-10,-0.08000000000000002,31,-23,0.7000000000000001,-1,0.2857142857142857,-2.527036276522928,17.78,-133,0,3.0,205,2024-06-22,0
0.9800000000000004,9,2,2.93,7,33,0.1,-1,0.19047619047619052,-6.863791923340173,0.0,0,0,3.0,170,2024-06-22,1
-0.16999999999999993,7,9,2.77,31,43,-0.6,0,0.0,2.8446269678302514,-15.240000000000009,-126,0,3.0,205,2024-06-22,1
-1.96,-4,4,0.9800000000000001,14,-8,0.6,0,0.4,-6.579055441478442,2.539999999999992,-21,0,3.0,185,2024-06-29,1
2.3799999999999994,-6,-6,0.79,17,7,0.4,6,0.4285714285714285,-10.614647501711161,-12.699999999999989,21,0,3.0,170,2024-06-29,1
-0.2200000000000002,8,-4,-0.55,-17,24,-0.20000000000000007,1,0.17948717948717952,-0.030116358658453635,0.0,-91,0,3.0,205,2024-06-29,0
-0.7400000000000002,7,10,-0.49,-10,10,0.0,2,-0.2857142857142857,5.273100616016425,-2.539999999999992,0,1,5.0,205,2024-06-29,1
1.3900000000000001,-8,-1,-0.4800000000000001,-5,-1,0.0,0,0.045454545454545414,-2.2970568104038307,7.619999999999976,301,0,3.0,170,2024-07-13,0
-0.9199999999999999,-1,11,1.5000000000000004,16,-7,1.4000000000000001,-2,1.0,-4.4243668720054785,-5.0800000000000125,133,0,3.0,170,2024-07-13,1
-0.2999999999999998,-5,-5,-2.55,-26,-56,-0.19999999999999996,0,-0.09999999999999998,-2.595482546201236,7.6200000000000045,196,0,3.0,185,2024-07-13,0
2.5900000000000003,1,13,-0.5,-13,-23,0.5,1,0.0,-2.628336755646817,2.539999999999992,210,0,3.0,170,2024-07-13,1
-0.71,8,1,-1.99,-27,-19,-0.3,0,0.16666666666666663,-3.430527036276523,10.159999999999997,-21,0,3.0,185,2024-07-27,0
-1.8399999999999999,11,-2,-1.0600000000000003,-2,-27,0.30000000000000004,3,0.07142857142857151,-3.126625598904859,5.0800000000000125,-224,1,5.0,170,2024-07-27,0
-0.040000000000000036,-3,6,-1.76,8,-16,-2.3,0,0.0,-2.431211498973301,2.539999999999992,-35,0,3.0,170,2024-07-27,1
-2.1999999999999997,-11,-3,0.15999999999999998,46,27,0.1,-1,0.08333333333333331,-5.577002053388096,7.6200000000000045,98,0,3.0,205,2024-07-27,1
-0.5699999999999998,-21,3,1.39,100,-7,2.8,1,1.0,-6.069815195071865,20.319999999999993,-133,0,3.0,170,2024-07-27,1
2.8800000000000003,5,-2,-2.6599999999999997,-12,-1,-0.09999999999999998,0,0.18787878787878787,3.8165639972621506,2.539999999999992,-140,0,3.0,170,2024-08-03,0
